Dates,High,Low,Close,Volume
2024-07-26 13:30:00,219.1499023,218,218.0200043,1552776
2024-07-26 13:32:00,218.7400055,217.6699982,217.6699982,490642
2024-07-26 13:34:00,217.9199982,217.0948029,217.7915039,519114
2024-07-26 13:36:00,217.8699951,216.9199982,216.9299927,525633
2024-07-26 13:38:00,217.6699982,216.7991943,217.3200073,378395
2024-07-26 13:40:00,217.5,217.125,217.1999969,416168
2024-07-26 13:42:00,217.2200012,216.2799988,216.6199951,504564
2024-07-26 13:44:00,217.3099976,216.6349945,217.25,390370
2024-07-26 13:46:00,217.5200043,216.6799927,216.7100067,315303
2024-07-26 13:48:00,216.9499969,216.4299927,216.5099945,272559
2024-07-26 13:50:00,217.2250061,216.4649963,217.2250061,277552
2024-07-26 13:52:00,217.4940033,216.9900055,217.0800018,322282
2024-07-26 13:54:00,217.4537048,216.8999939,217.3650055,279606
2024-07-26 13:56:00,217.5700073,216.920105,217.5249939,288826
2024-07-26 13:58:00,217.8450012,217.3500061,217.6799927,303975
2024-07-26 14:00:00,217.9400024,217.2200012,217.6501007,411237
2024-07-26 14:02:00,217.8500061,217.0200043,217.1100006,285012
2024-07-26 14:04:00,217.1398926,216.1999969,216.3099976,386457
2024-07-26 14:06:00,216.8679962,216.0099945,216.3249969,387470
2024-07-26 14:08:00,216.6199951,216.023407,216.5198975,296765
2024-07-26 14:10:00,216.9499969,216.4100037,216.7100067,259188
2024-07-26 14:12:00,217.1199951,216.6600037,216.9709015,175512
2024-07-26 14:14:00,217.0444031,216.4600067,216.8000031,293577
2024-07-26 14:16:00,217.0299988,216.7200012,216.7319946,180986
2024-07-26 14:18:00,216.9900055,216.4799957,216.9707947,221741
2024-07-26 14:20:00,217.2700043,216.940094,216.940094,199578
2024-07-26 14:22:00,217.2400055,216.8500061,217.2124939,168642
2024-07-26 14:24:00,217.5500031,217.220993,217.3834076,202249
2024-07-26 14:26:00,217.8950043,217.3999939,217.6100006,293594
2024-07-26 14:28:00,217.9499969,217.3999939,217.3999939,222768
2024-07-26 14:30:00,217.5899048,216.6900024,216.7700043,259847
2024-07-26 14:32:00,216.8399963,216.6038971,216.6600037,185830
2024-07-26 14:34:00,216.9600067,216.4559021,216.9499969,167439
2024-07-26 14:36:00,217.0057983,216.8141022,216.8200073,176872
2024-07-26 14:38:00,216.9700012,216.6519928,216.8399963,103033
2024-07-26 14:40:00,217.1100006,216.6291962,216.9579926,135209
2024-07-26 14:42:00,217.2550049,216.9400024,217.2449951,186622
2024-07-26 14:44:00,217.2400055,216.7899933,216.9799957,125808
2024-07-26 14:46:00,217.0299988,216.6401062,216.9600067,106528
2024-07-26 14:48:00,217.0399933,216.7660065,217,146591
2024-07-26 14:50:00,217.1300049,216.8600006,216.9799957,141532
2024-07-26 14:52:00,217.0200043,216.8549957,217,115715
2024-07-26 14:54:00,217.1190033,216.8200073,217.0399933,132453
2024-07-26 14:56:00,217.4400024,217,217.2799988,195406
2024-07-26 14:58:00,217.6100006,217.2799988,217.5149994,188603
2024-07-26 15:00:00,217.7400055,217.3901062,217.667099,176876
2024-07-26 15:02:00,217.7449951,217.5599976,217.7400055,131431
2024-07-26 15:04:00,218.1300049,217.75,218.0500946,190303
2024-07-26 15:06:00,217.9600067,217.5007019,217.7832031,191641
2024-07-26 15:08:00,218.009903,217.6900024,217.6900024,196390
2024-07-26 15:10:00,217.7899933,217.5805054,217.75,122162
2024-07-26 15:12:00,217.8000031,217.4700012,217.6699982,140003
2024-07-26 15:14:00,217.8500061,217.5500031,217.6600037,90770
2024-07-26 15:16:00,217.75,217.5099945,217.6940002,100674
